#x true_y pred_y
0.3 0.11641 0.121733
0.3005 0.128448 0.122097
0.301 0.124313 0.122461
0.3015 0.11521 0.122825
0.302 0.119575 0.123189
0.3025 0.120323 0.123554
0.303 0.124815 0.123918
0.3035 0.128663 0.124282
0.304 0.131471 0.124646
0.3045 0.125749 0.12501
0.305 0.113986 0.125375
0.3055 0.128731 0.125739
0.306 0.129906 0.126103
0.3065 0.118759 0.126467
0.307 0.116123 0.126831
0.3075 0.132725 0.127196
0.308 0.11933 0.12756
0.3085 0.135509 0.127924
0.309 0.117688 0.128288
0.3095 0.134804 0.128652
0.31 0.132143 0.129016
0.3105 0.122571 0.129381
0.311 0.135321 0.129745
0.3115 0.132285 0.130109
0.312 0.134951 0.130473
0.3125 0.134696 0.130837
0.313 0.122511 0.131202
0.3135 0.128328 0.131566
0.314 0.138811 0.13193
0.3145 0.139714 0.132294
0.315 0.134207 0.132658
0.3155 0.136682 0.133023
0.316 0.135055 0.133387
0.3165 0.131976 0.133751
0.317 0.136855 0.134115
0.3175 0.140344 0.134479
0.318 0.140205 0.134844
0.3185 0.128505 0.135208
0.319 0.125066 0.135572
0.3195 0.127817 0.135936
0.32 0.143656 0.1363
0.3205 0.140325 0.136665
0.321 0.135559 0.137029
0.3215 0.143597 0.137393
0.322 0.135053 0.137757
0.3225 0.129271 0.138121
0.323 0.148186 0.138486
0.3235 0.132875 0.13885
0.324 0.146285 0.139214
0.3245 0.144733 0.139578
0.325 0.141206 0.139942
0.3255 0.147459 0.140307
0.326 0.147325 0.140671
0.3265 0.150177 0.141035
0.327 0.133322 0.141399
0.3275 0.14868 0.141763
0.328 0.149412 0.142128
0.3285 0.148238 0.142492
0.329 0.136528 0.142856
0.3295 0.143957 0.14322
0.33 0.149366 0.143584
0.3305 0.148061 0.143949
0.331 0.138896 0.144313
0.3315 0.145717 0.144677
0.332 0.153659 0.145041
0.3325 0.142847 0.145405
0.333 0.138189 0.14577
0.3335 0.150023 0.146134
0.334 0.148859 0.146498
0.3345 0.159171 0.146862
0.335 0.147133 0.147226
0.3355 0.155541 0.147591
0.336 0.15624 0.147955
0.3365 0.146006 0.148319
0.337 0.161699 0.148683
0.3375 0.147066 0.149047
0.338 0.153649 0.149412
0.3385 0.151561 0.149776
0.339 0.147903 0.15014
0.3395 0.159476 0.150504
0.34 0.164195 0.150868
0.3405 0.162357 0.151233
0.341 0.160956 0.151597
0.3415 0.160783 0.151961
0.342 0.156743 0.152325
0.3425 0.154005 0.152953
0.343 0.150252 0.153766
0.3435 0.152462 0.154578
0.344 0.166806 0.15539
0.3445 0.163679 0.156203
0.345 0.170465 0.157015
0.3455 0.167561 0.157827
0.346 0.164337 0.15864
0.3465 0.165339 0.159452
0.347 0.154309 0.160265
0.3475 0.171264 0.161077
0.348 0.154045 0.161889
0.3485 0.164617 0.162702
0.349 0.169492 0.163514
0.3495 0.166046 0.164326
0.35 0.163845 0.165139
0.3505 0.176227 0.165951
0.351 0.160037 0.166764
0.3515 0.161513 0.167576
0.352 0.165019 0.168388
0.3525 0.177398 0.169201
0.353 0.172368 0.170013
0.3535 0.161043 0.170826
0.354 0.168534 0.171638
0.3545 0.16876 0.17245
0.355 0.178811 0.173263
0.3555 0.178975 0.174075
0.356 0.164324 0.174887
0.3565 0.176771 0.1757
0.357 0.177179 0.176512
0.3575 0.173122 0.177325
0.358 0.177565 0.178137
0.3585 0.177937 0.178949
0.359 0.180389 0.179762
0.3595 0.169087 0.180574
0.36 0.181305 0.181387
0.3605 0.175203 0.182199
0.361 0.182031 0.183011
0.3615 0.17966 0.183824
0.362 0.187788 0.184636
0.3625 0.191162 0.185448
0.363 0.177741 0.186261
0.3635 0.176919 0.187073
0.364 0.185508 0.187886
0.3645 0.193482 0.188698
0.365 0.193281 0.18951
0.3655 0.177206 0.190323
0.366 0.184349 0.191135
0.3665 0.195295 0.191948
0.367 0.192058 0.19276
0.3675 0.192692 0.193572
0.368 0.191786 0.194389
0.3685 0.198243 0.195262
0.369 0.200067 0.196134
0.3695 0.197071 0.197007
0.37 0.186956 0.19788
0.3705 0.194615 0.198752
0.371 0.194846 0.199625
0.3715 0.19936 0.200498
0.372 0.194831 0.20137
0.3725 0.200961 0.202243
0.373 0.19636 0.203116
0.3735 0.195856 0.203989
0.374 0.207062 0.204861
0.3745 0.206261 0.205734
0.375 0.201016 0.206607
0.3755 0.200954 0.207479
0.376 0.198063 0.208352
0.3765 0.20652 0.209225
0.377 0.193034 0.210097
0.3775 0.197718 0.21097
0.378 0.210937 0.211843
0.3785 0.21278 0.212715
0.379 0.204829 0.213588
0.3795 0.211755 0.214461
0.38 0.201403 0.215333
0.3805 0.212057 0.216206
0.381 0.200699 0.217079
0.3815 0.21001 0.217951
0.382 0.216238 0.218824
0.3825 0.200829 0.219697
0.383 0.214725 0.220569
0.3835 0.205674 0.221442
0.384 0.21828 0.222315
0.3845 0.203769 0.223188
0.385 0.222399 0.22406
0.3855 0.207441 0.224933
0.386 0.208887 0.225806
0.3865 0.217489 0.226678
0.387 0.219661 0.227551
0.3875 0.220669 0.228424
0.388 0.212323 0.229296
0.3885 0.221995 0.230169
0.389 0.217902 0.231042
0.3895 0.225522 0.231914
0.39 0.2281 0.232787
0.3905 0.230124 0.23366
0.391 0.231568 0.234532
0.3915 0.226683 0.235405
0.392 0.222083 0.236278
0.3925 0.224374 0.23715
0.393 0.219942 0.238023
0.3935 0.219409 0.238896
0.394 0.223532 0.239769
0.3945 0.234177 0.240641
0.395 0.238041 0.241514
0.3955 0.239579 0.242387
0.396 0.234769 0.243259
0.3965 0.241284 0.244132
0.397 0.238597 0.245005
0.3975 0.240629 0.245877
0.398 0.236773 0.24675
0.3985 0.235638 0.247623
0.399 0.246085 0.248495
0.3995 0.240196 0.249368
0.4 0.249703 0.250241
0.4005 0.238821 0.251113
0.401 0.244874 0.251986
0.4015 0.250654 0.252859
0.402 0.239083 0.253731
0.4025 0.240269 0.254604
0.403 0.252648 0.255477
0.4035 0.246951 0.256349
0.404 0.253397 0.257222
0.4045 0.256442 0.258095
0.405 0.253757 0.258968
0.4055 0.249587 0.25984
0.406 0.241205 0.260713
0.4065 0.253655 0.261586
0.407 0.255033 0.262458
0.4075 0.263356 0.263331
0.408 0.256213 0.264204
0.4085 0.247826 0.265076
0.409 0.249432 0.265949
0.4095 0.254639 0.266822
0.41 0.265694 0.267694
0.4105 0.257494 0.268567
0.411 0.256097 0.26944
0.4115 0.261806 0.270312
0.412 0.257496 0.271185
0.4125 0.262715 0.272058
0.413 0.254853 0.27293
0.4135 0.261749 0.273803
0.414 0.273756 0.274676
0.4145 0.275055 0.275548
0.415 0.275977 0.276421
0.4155 0.275536 0.277294
0.416 0.265874 0.278167
0.4165 0.277024 0.279039
0.417 0.280265 0.279912
0.4175 0.277555 0.280785
0.418 0.278506 0.281657
0.4185 0.272175 0.28253
0.419 0.272723 0.283403
0.4195 0.269705 0.284275
0.42 0.272471 0.285148
0.4205 0.276165 0.286021
0.421 0.279122 0.286893
0.4215 0.29095 0.287766
0.422 0.276687 0.288639
0.4225 0.282898 0.289511
0.423 0.288151 0.290384
0.4235 0.280116 0.291257
0.424 0.287068 0.292129
0.4245 0.288013 0.293002
0.425 0.297205 0.293875
0.4255 0.296446 0.294748
0.426 0.299442 0.29562
0.4265 0.294144 0.296493
0.427 0.293567 0.297366
0.4275 0.297822 0.298238
0.428 0.303771 0.299111
0.4285 0.291697 0.299984
0.429 0.299212 0.300856
0.4295 0.292246 0.301729
0.43 0.307812 0.302602
0.4305 0.309125 0.303474
0.431 0.297582 0.304347
0.4315 0.30562 0.30522
0.432 0.309601 0.306092
0.4325 0.308702 0.306965
0.433 0.307339 0.307838
0.4335 0.303337 0.30871
0.434 0.305584 0.309583
0.4345 0.309164 0.310456
0.435 0.32044 0.311328
0.4355 0.306842 0.312201
0.436 0.305961 0.313074
0.4365 0.317982 0.313947
0.437 0.307335 0.314819
0.4375 0.323109 0.315692
0.438 0.310404 0.316565
0.4385 0.326131 0.317437
0.439 0.316244 0.31831
0.4395 0.325655 0.319183
0.44 0.32909 0.320055
0.4405 0.32519 0.320928
0.441 0.316851 0.321801
0.4415 0.330491 0.322673
0.442 0.33021 0.323546
0.4425 0.326818 0.324419
0.443 0.334125 0.325291
0.4435 0.334863 0.326164
0.444 0.338284 0.327037
0.4445 0.343535 0.327909
0.445 0.330135 0.328782
0.4455 0.339348 0.329655
0.446 0.340407 0.330527
0.4465 0.337175 0.3314
0.447 0.337712 0.332273
0.4475 0.336609 0.333146
0.448 0.335845 0.334018
0.4485 0.335826 0.334891
0.449 0.350706 0.335764
0.4495 0.342321 0.336636
0.45 0.356706 0.337509
0.4505 0.353012 0.338382
0.451 0.353388 0.339254
0.4515 0.344146 0.340127
0.452 0.357677 0.341
0.4525 0.364287 0.341872
0.453 0.348596 0.342745
0.4535 0.3498 0.343618
0.454 0.36704 0.34449
0.4545 0.361153 0.345363
0.455 0.35252 0.346236
0.4555 0.363279 0.347108
0.456 0.366964 0.347981
0.4565 0.370335 0.348854
0.457 0.365485 0.349727
0.4575 0.377384 0.350599
0.458 0.369508 0.351472
0.4585 0.373762 0.352345
0.459 0.364293 0.353217
0.4595 0.371277 0.35409
0.46 0.380961 0.354963
0.4605 0.384077 0.355835
0.461 0.371267 0.356708
0.4615 0.372237 0.357581
0.462 0.385272 0.358453
0.4625 0.383576 0.359326
0.463 0.386664 0.360199
0.4635 0.383016 0.361071
0.464 0.390802 0.361944
0.4645 0.380714 0.362817
0.465 0.396715 0.363689
0.4655 0.380917 0.364562
0.466 0.392192 0.365435
0.4665 0.390781 0.366307
0.467 0.38552 0.36718
0.4675 0.405505 0.368053
0.468 0.392152 0.368926
0.4685 0.404154 0.369798
0.469 0.400984 0.370751
0.4695 0.399499 0.372859
0.47 0.398279 0.374966
0.4705 0.403463 0.377074
0.471 0.399985 0.379181
0.4715 0.409399 0.381289
0.472 0.402738 0.383396
0.4725 0.413552 0.385504
0.473 0.40286 0.387611
0.4735 0.406801 0.389719
0.474 0.424582 0.391826
0.4745 0.411782 0.393934
0.475 0.416365 0.396041
0.4755 0.421229 0.398149
0.476 0.41218 0.400256
0.4765 0.419132 0.402363
0.477 0.426631 0.404471
0.4775 0.428009 0.406578
0.478 0.431013 0.408686
0.4785 0.431964 0.410793
0.479 0.424416 0.412901
0.4795 0.438867 0.415008
0.48 0.430663 0.417116
0.4805 0.436103 0.419223
0.481 0.435114 0.421331
0.4815 0.439977 0.423438
0.482 0.439041 0.425546
0.4825 0.448389 0.427653
0.483 0.438382 0.429761
0.4835 0.452777 0.431868
0.484 0.453567 0.433976
0.4845 0.444131 0.436083
0.485 0.447992 0.43819
0.4855 0.450192 0.440298
0.486 0.454423 0.442405
0.4865 0.459018 0.444513
0.487 0.451697 0.44662
0.4875 0.45133 0.448728
0.488 0.452298 0.450835
0.4885 0.454296 0.452943
0.489 0.459543 0.45505
0.4895 0.456359 0.457158
0.49 0.456361 0.459265
0.4905 0.47716 0.461373
0.491 0.478587 0.46348
0.4915 0.465249 0.465588
0.492 0.466153 0.467695
0.4925 0.47047 0.469802
0.493 0.467987 0.47191
0.4935 0.473452 0.474017
0.494 0.480538 0.476125
0.4945 0.48518 0.478232
0.495 0.485263 0.48034
0.4955 0.474599 0.482447
0.496 0.492456 0.484555
0.4965 0.485546 0.486662
0.497 0.489068 0.48877
0.4975 0.491497 0.490877
0.498 0.487679 0.492985
0.4985 0.498499 0.495092
0.499 0.499532 0.4972
0.4995 0.5037 0.499307
0.5 0.504282 0.501415
0.5005 0.501302 0.503522
0.501 0.495644 0.505629
0.5015 0.49933 0.507737
0.502 0.512993 0.509844
0.5025 0.505948 0.511952
0.503 0.510917 0.514059
0.5035 0.503652 0.516167
0.504 0.511262 0.518274
0.5045 0.516474 0.520382
0.505 0.518644 0.522489
0.5055 0.516332 0.524597
0.506 0.529723 0.526704
0.5065 0.52067 0.528812
0.507 0.525568 0.530919
0.5075 0.519375 0.533027
0.508 0.520629 0.535134
0.5085 0.533737 0.537241
0.509 0.528041 0.539349
